description,category,amount
AMZN*PAY*47827,Shopping,552.03
cash withdrawal ATM,Transfers & ATM,622.9
Spencer's Retail,Groceries,235.09
Excitel Broadband,Utilities & Bills,1765.37
SBI ATM Withdrawal,Transfers & ATM,7629.97
Country Delight Milk,Groceries,886.42
Spotify Premium India,Entertainment,189.18
Amazon Prime Video,Entertainment,370.59
educational material,Education,1637.82
JIO*RCHG*28249,Utilities & Bills,1983.42
HealthifyMe Premium,Healthcare,2764.19
family transfer,Transfers & ATM,13131.41
canteen payment,Food & Dining,429.39
ZOMATO*ORDER96511,Food & Dining,296.31
Gaana Music Pro,Entertainment,643.65
More Supermarket,Groceries,1625.46
cash withdrawal ATM,Transfers & ATM,6329.12
language learning app,Education,1408.53
UPI transfer friend,Transfers & ATM,11416.88
certification exam fee,Education,7944.37
Behrouz Biryani,Food & Dining,786.84
visa fee,Travel,3211.76
Starbucks India,Food & Dining,1123.57
Biryani By Kilo,Food & Dining,1127.78
FabHotels,Travel,5591.84
IMPS*93435,Transfers & ATM,7351.85
holiday package,Travel,7372.22
BYJU'S App Payment,Education,4277.82
MMYT*35292,Travel,745.56
Nature's Basket Order,Groceries,637.49
BYJU'S App Payment,Education,4261.48
GoFirst Air,Travel,2324.03
holiday inn payment,Travel,3422.02
cash withdrawal ATM,Transfers & ATM,6162.02
flipkart order delivery,Shopping,2361.15
language learning app,Education,5470.02
utility bill,Utilities & Bills,1041.87
DMart Ready Grocery,Groceries,2120.74
Ola Electric Scooter,Transport,463.13
Air India Ticket,Travel,9126.95
resort booking,Travel,5526.72
diagnostic center fee,Healthcare,1695.06
grocery shopping online,Groceries,2224.3
DMART*74553,Groceries,2058.35
BYJU'S App Payment,Education,6638.89
tuition fee payment,Education,1330.03
BMTC Bengaluru,Transport,755.8
Lifestyle Stores,Shopping,3230.28
visa fee,Travel,864.98
KFC India Order,Food & Dining,331.66
Apple Music India,Entertainment,708.33
OYO Rooms Booking*24749,Travel,8225.1
paytm transfer,Transfers & ATM,12738.71
UNACAD*68373,Education,3061.67
Max Hospital,Healthcare,1986.36
MMYT*99337,Travel,5798.29
Domino's Pizza Order,Food & Dining,1134.59
dinner online order,Food & Dining,340.73
BYJU'S App Payment,Education,2480.44
certification exam fee,Education,930.28
Yulu Bike Rental,Transport,313.27
YouTube Premium Monthly,Entertainment,369.39
lab test booking,Healthcare,1475.42
Unacademy Learn Subscription,Education,4750.08
CESC Kolkata,Utilities & Bills,617.0
FLPKRT*88148,Shopping,606.88
ACT Fibernet Bill,Utilities & Bills,2150.9
bus ticket online,Transport,617.2
health checkup fee,Healthcare,1876.06
Blinkit Grocery*87459,Groceries,1191.64
parking fee,Transport,417.01
restaurant bill payment,Food & Dining,867.96
Amazon Pay India*52568,Shopping,1024.16
holiday package,Travel,1048.66
More Supermarket,Groceries,1269.35
certification exam fee,Education,5567.73
Jio Recharge RJIL*31473,Utilities & Bills,1290.89
IRCTC E-TICKET*61717,Transport,60.44
Vodafone Idea Vi,Utilities & Bills,2094.91
DTH recharge Tata Sky,Utilities & Bills,1772.2
cash withdrawal ATM,Transfers & ATM,9036.5
hotel booking online,Travel,1122.47
ott platform payment,Entertainment,195.28
diagnostic center fee,Healthcare,471.87
tuition fee payment,Education,6523.76
SpiceJet Booking,Travel,5980.2
educational material,Education,6626.29
supermarket bill,Groceries,2432.24
Ola Electric Scooter,Transport,379.37
diagnostic center fee,Healthcare,1092.22
WinZO Games,Entertainment,727.07
Nature's Basket Order,Groceries,1612.87
SPOTIFY*29516,Entertainment,315.87
EatFit Health,Food & Dining,1111.26
IRCTC E-TICKET*71537,Transport,636.14
FLPKRT*62487,Shopping,2714.54
milk subscription daily,Groceries,218.67
BYJU*31679,Education,875.54
Vogo Scooter,Transport,131.26
PVR Cinemas*24026,Entertainment,925.24
gaming purchase Steam,Entertainment,951.55
Simplilearn Course,Education,1916.62
IRCTC Tatkal Ticket,Travel,2071.18
split bill payment,Transfers & ATM,14515.33
boAt Lifestyle,Shopping,2119.5
BigBasket BB Order*25493,Groceries,255.17
WinZO Games,Entertainment,538.76
DMart Ready Grocery,Groceries,2278.25
cash withdrawal ATM,Transfers & ATM,4920.13
travel insurance,Travel,5445.76
money sent UPI,Transfers & ATM,7531.32
Swiggy Instamart,Groceries,698.81
shopping online amazon,Shopping,3113.57
Spencer's Retail,Groceries,1776.67
Nykaa Beauty Order,Shopping,1427.9
Columbia Asia,Healthcare,2702.13
upGrad Course Fee,Education,6349.37
Rapido Bike Taxi,Transport,426.72
Subway India,Food & Dining,1064.17
JioSaavn Pro,Entertainment,962.37
grocery shopping online,Groceries,1790.95
Croma Electronics,Shopping,691.57
IMPS*23926,Transfers & ATM,13732.83
IMPS Transfer*24528,Transfers & ATM,10586.98
Croma Electronics,Shopping,4915.43
Dunzo Quick Commerce,Food & Dining,610.39
medicine purchase,Healthcare,2056.71
dental clinic payment,Healthcare,1373.82
Meesho App Purchase,Shopping,1455.79
clothes shopping,Shopping,1566.94
Adidas India Store,Shopping,2692.04
McDonald's India,Food & Dining,790.4
Subway India,Food & Dining,1066.57
TNEB Power Bill,Utilities & Bills,1927.3
Indian Oil Fuel,Transport,763.09
Xbox Game Pass,Entertainment,844.26
SPOTIFY*39579,Entertainment,673.15
BIGBSKT*13265,Groceries,611.42
WinZO Games,Entertainment,861.03
KFC India Order,Food & Dining,303.28
1mg Medicines Online,Healthcare,668.93
Nature's Basket Order,Groceries,2160.76
doctor consultation fee,Healthcare,201.06
Practo Consult Fee,Healthcare,1275.19
Fassos Wrap,Food & Dining,822.56
Ajio Fashion,Shopping,4120.89
Dream11 contest,Entertainment,119.46
NEFT Transfer HDFC*94523,Transfers & ATM,5780.8
Library Fine Payment,Education,336.21
tuition fee payment,Education,1122.71
Unacademy Learn Subscription,Education,2844.66
organic grocery store,Groceries,1456.74
electricity bill payment,Utilities & Bills,1667.02
gadget buy,Shopping,2300.68
gadget buy,Shopping,4178.83
zomato order khaana,Food & Dining,485.44
health checkup fee,Healthcare,1421.39
Spencer's Retail,Groceries,209.45
DMART*96235,Groceries,1204.49
Airtel Prepaid Recharge,Utilities & Bills,615.26
exam registration fee,Education,5781.14
family transfer,Transfers & ATM,8415.33
AMZN*PAY*45972,Shopping,799.94
holiday inn payment,Travel,2219.8
WinZO Games,Entertainment,806.28
Flipkart Internet Pvt,Shopping,2358.17
sabzi mandi payment,Groceries,2477.67
SWGY*73517,Food & Dining,781.96
BIGBSKT*52647,Groceries,1476.7
Uber India Trip,Transport,223.61
PharmEasy Order,Healthcare,472.21
AMZN*PAY*97562,Shopping,4069.57
Myntra Fashion,Shopping,4090.27
certification exam fee,Education,785.99
Myntra Fashion,Shopping,2611.85
cash withdrawal ATM,Transfers & ATM,8085.23
BYJU*32356,Education,1988.32
Haldirams Sweets,Food & Dining,114.75
Gaana Music Pro,Entertainment,495.2
broadband bill pay,Utilities & Bills,1139.01
Xbox Game Pass,Entertainment,793.79
Behrouz Biryani,Food & Dining,302.13
dinner online order,Food & Dining,343.43
hotel booking online,Travel,9305.64
Ludo King Premium,Entertainment,343.46
Vijay Sales,Shopping,1277.01
Myntra Fashion,Shopping,514.66
kirana store upi,Groceries,1330.32
BYJU'S App Payment,Education,1738.91
BEST Bus Mumbai,Transport,360.36
Reliance Digital,Shopping,2517.62
Google Pay Send Money,Transfers & ATM,2111.08
Country Delight Milk,Groceries,1487.14
Airbnb India Stay,Travel,11924.24
weekly grocery,Groceries,1129.65
Cult.fit Membership,Healthcare,2899.77
SBI ATM Withdrawal,Transfers & ATM,592.07
MPL Gaming,Entertainment,589.0
lab test booking,Healthcare,558.19
Subway India,Food & Dining,726.63
Google Pay Send Money,Transfers & ATM,11484.48
Duolingo Premium,Education,6623.86
Google Pay Send Money,Transfers & ATM,3389.23
Airbnb India Stay,Travel,2554.35
Adidas India Store,Shopping,4943.98
DMART*85230,Groceries,1887.77
H&M India Online,Shopping,1708.36
BIGBSKT*47851,Groceries,1640.84
UPI transfer friend,Transfers & ATM,2523.73
OLA*RIDE*69473,Transport,253.19
bank transfer online,Transfers & ATM,2574.77
cash withdrawal ATM,Transfers & ATM,11663.27
travel booking,Travel,10142.95
Duolingo Premium,Education,817.76
Country Delight Milk,Groceries,1504.2
Nike India,Shopping,568.13
grocery shopping online,Groceries,529.58
Udemy Course Purchase,Education,4007.16
rent payment UPI,Transfers & ATM,9103.68
Amazon Prime Video,Entertainment,609.03
dental clinic payment,Healthcare,643.62
Vijay Sales,Shopping,1985.04
UBER*TRIP*96400,Transport,560.64
APOLLO*64870,Healthcare,2902.04
family transfer,Transfers & ATM,10169.87
DTH recharge Tata Sky,Utilities & Bills,1877.34
holiday inn payment,Travel,8355.73
health checkup fee,Healthcare,779.55
Excitel Broadband,Utilities & Bills,2309.23
Treebo Hotels,Travel,3360.77
Vijay Sales,Shopping,2671.42
hospital bill payment,Healthcare,1995.03
travel booking,Travel,8159.09
restaurant bill payment,Food & Dining,1016.35
UPI/PhonePe/75234,Transfers & ATM,2658.39
JioSaavn Pro,Entertainment,596.73
Rapido Bike Taxi,Transport,376.62
Puma Online India,Shopping,1130.47
TNEB Power Bill,Utilities & Bills,1877.61
flipkart order delivery,Shopping,4495.54
book purchase Amazon,Education,3293.82
Reliance Fresh,Groceries,785.16
BEST Bus Mumbai,Transport,673.05
upGrad Course Fee,Education,4275.58
dinner online order,Food & Dining,846.37
book purchase Amazon,Education,3560.85
Country Delight Milk,Groceries,735.26
FLPKRT*73783,Shopping,2728.81
Vedantu Live Classes,Education,3481.27
KFC India Order,Food & Dining,583.11
More Supermarket,Groceries,1724.86
book purchase Amazon,Education,4527.61
diagnostic center fee,Healthcare,719.07
electronics purchase,Shopping,3552.4
IMPS*10113,Transfers & ATM,14026.96
zomato order khaana,Food & Dining,1194.57
swiggy se khana,Food & Dining,623.92
educational material,Education,5209.33
GOIBO*58679,Travel,5832.37
rent payment UPI,Transfers & ATM,10792.47
educational material,Education,649.53
Apollo Hospitals,Healthcare,917.85
Yatra.com Ticket,Travel,1598.87
visa fee,Travel,5585.42
Cult.fit Membership,Healthcare,2094.27
travel insurance,Travel,4781.56
HealthifyMe Premium,Healthcare,699.27
MSEDCL Electricity,Utilities & Bills,799.12
BluSmart EV Cab,Transport,124.78
hospital bill payment,Healthcare,1507.35
book purchase Amazon,Education,4405.22
PlayStation Store,Entertainment,948.12
split bill payment,Transfers & ATM,9477.44
gadget buy,Shopping,2335.98
Gaana Music Pro,Entertainment,355.87
Library Fine Payment,Education,5959.85
Ola Electric Scooter,Transport,476.47
Tata CLiQ,Shopping,3269.09
MMYT*80855,Travel,11250.86
Ola Electric Scooter,Transport,378.59
diagnostic center fee,Healthcare,2150.32
Air India Ticket,Travel,9098.3
broadband bill pay,Utilities & Bills,360.64
GOIBO*80136,Travel,595.65
broadband bill pay,Utilities & Bills,1020.29
ZEE5 Premium,Entertainment,515.7
BSNL Landline,Utilities & Bills,102.51
IMPS*94813,Transfers & ATM,1814.67
eye clinic glasses,Healthcare,2648.01
certification exam fee,Education,4967.04
Vijay Sales,Shopping,3446.22
PharmEasy Order,Healthcare,1792.39
family transfer,Transfers & ATM,14220.66
gaming purchase Steam,Entertainment,134.59
MMYT*92114,Travel,1953.73
DMart Ready Grocery,Groceries,1798.62
skill development course,Education,2514.11
organic grocery store,Groceries,1277.03
AMZN*PAY*57920,Shopping,3823.59
health checkup fee,Healthcare,1884.67
UBER*TRIP*58147,Transport,458.35
entertainment subscription,Entertainment,679.42
SBI ATM Withdrawal,Transfers & ATM,6080.75
cash withdrawal ATM,Transfers & ATM,8350.81
RTGS Transfer,Transfers & ATM,2990.19
Udemy Course Purchase,Education,7462.6
ATM cash withdrawal,Transfers & ATM,12133.59
Medplus Pharmacy,Healthcare,2356.94
Paytm Wallet Load,Transfers & ATM,4967.19
FOOD*DELIV*17685,Food & Dining,264.39
Haldirams Sweets,Food & Dining,260.93
Apollo Pharmacy Order,Healthcare,186.34
Decathlon Sports,Shopping,402.09
BookMyShow Ticket*63120,Entertainment,440.34
Columbia Asia,Healthcare,2916.51
landlord rent transfer,Transfers & ATM,9847.74
Vistara Flight,Travel,4209.9
DMart Ready Grocery,Groceries,1786.89
SonyLIV Premium,Entertainment,542.81
eye clinic glasses,Healthcare,2620.65
Gaana Music Pro,Entertainment,608.27
money sent UPI,Transfers & ATM,1704.83
IRCTC Tatkal Ticket,Travel,11762.79
petrol pump payment,Transport,466.38
gym membership fee,Healthcare,1594.37
Blinkit Instant,Food & Dining,758.6
paytm transfer,Transfers & ATM,4697.22
GOIBO*35115,Travel,1635.67
educational material,Education,1539.86
BESCOM Electricity Bill,Utilities & Bills,1636.93
NETFLIX*72580,Entertainment,684.48
UPI/PhonePe/83100,Transfers & ATM,3916.77
health checkup fee,Healthcare,1281.88
Air India Ticket,Travel,602.69
tuition fee payment,Education,4926.06
JioMart Kiryana Store,Groceries,312.77
gaming purchase Steam,Entertainment,958.37
lunch delivery,Food & Dining,552.15
Dish TV Recharge,Utilities & Bills,1678.98
Nature's Basket Order,Groceries,1189.15
Fortis Healthcare,Healthcare,902.76
online course payment,Education,1526.31
TNEB Power Bill,Utilities & Bills,1106.98
eye clinic glasses,Healthcare,1633.82
khaana order,Food & Dining,303.03
holiday package,Travel,3373.35
eye clinic glasses,Healthcare,1632.88
parking fee,Transport,570.1
Flipkart Internet Pvt,Shopping,4355.7
tuition fee payment,Education,2429.71
gym membership fee,Healthcare,2004.04
Burger King India,Food & Dining,412.31
APOLLO*62028,Healthcare,1960.92
Netmeds Medicine Order,Healthcare,291.46
JIO*RCHG*99989,Utilities & Bills,1161.16
Pizza Hut Delivery,Food & Dining,922.25
OLA*RIDE*52622,Transport,335.68
JEE preparation course,Education,1959.25
TripAdvisor Hotel,Travel,11396.29
parking fee,Transport,543.67
upGrad Course Fee,Education,6016.32
swiggy se khana,Food & Dining,476.81
RedBus Ticket Booking,Transport,620.28
Swiggy Food Delivery,Food & Dining,201.41
Myntra Fashion,Shopping,2105.34
BigBasket BB Order*55453,Groceries,1773.92
Spencer's Retail,Groceries,2188.57
Vodafone Idea Vi,Utilities & Bills,922.7
BYJU'S App Payment,Education,1966.99
travel booking,Travel,4381.4
Air India Ticket,Travel,2796.38
mobile recharge online,Utilities & Bills,1366.04
RTGS Transfer,Transfers & ATM,12228.99
flipkart order delivery,Shopping,1994.39
Swiggy Food Delivery,Food & Dining,425.25
Vodafone Idea Vi,Utilities & Bills,2304.76
Reliance Digital,Shopping,3530.8
HealthifyMe Premium,Healthcare,1299.67
BSNL Landline,Utilities & Bills,2036.87
Biryani By Kilo,Food & Dining,460.02
cab booking fare,Transport,773.02
yoga class,Healthcare,2755.4
Domino's Pizza Order,Food & Dining,837.9
Faasos Online,Food & Dining,414.26
medicine purchase,Healthcare,1056.31
IRCTC E-TICKET*51224,Transport,239.3
swiggy se khana,Food & Dining,115.6
INOX Movies,Entertainment,145.38
Lifestyle Stores,Shopping,402.35
Domino's Pizza Order,Food & Dining,511.42
fantasy sports entry,Entertainment,907.89
restaurant bill payment,Food & Dining,222.56
FabHotels,Travel,6136.06
YouTube Premium Monthly,Entertainment,529.36
Swiggy Instamart,Groceries,2228.99
family transfer,Transfers & ATM,754.4
CESC Kolkata,Utilities & Bills,1606.38
gas cylinder booking,Utilities & Bills,1578.13
UPI/PhonePe/87718,Transfers & ATM,3958.03
IMPS*45825,Transfers & ATM,6510.45
Yatra.com Ticket,Travel,2418.31
Milkbasket Order,Groceries,2032.48
medicine purchase,Healthcare,2694.61
MMYT*56616,Travel,2295.23
Library Fine Payment,Education,5283.54
Apollo Hospitals,Healthcare,2015.14
HealthifyMe Premium,Healthcare,2662.64
gaming purchase Steam,Entertainment,572.81
mobile recharge online,Utilities & Bills,1991.72
Air India Ticket,Travel,8284.5
Uber India Trip,Transport,640.1
visa fee,Travel,8646.99
CESC Kolkata,Utilities & Bills,1960.05
khaana order,Food & Dining,535.91
language learning app,Education,3172.48
tour payment,Travel,2282.41
Ludo King Premium,Entertainment,424.61
sabzi mandi payment,Groceries,382.79
restaurant bill payment,Food & Dining,849.28
Haldirams Sweets,Food & Dining,378.84
Paytm Wallet Load,Transfers & ATM,9255.41
Practo Consult Fee,Healthcare,1211.97
JEE preparation course,Education,3283.56
Vogo Scooter,Transport,373.02
Domino's Pizza Order,Food & Dining,136.66
BYJU*28408,Education,6627.98
Netflix India Subscription,Entertainment,289.63
Reliance Fresh,Groceries,1261.1
hospital bill payment,Healthcare,1162.56
DMART*27575,Groceries,1355.35
FabHotels,Travel,8150.29
lab test booking,Healthcare,924.72
RedBus Ticket Booking,Transport,396.09
Tikona Internet,Utilities & Bills,2178.34
weekly grocery,Groceries,1175.49
travel insurance,Travel,1529.02
BigBasket BB Order*53499,Groceries,680.72
Manipal Hospital,Healthcare,2157.93
Great Learning Program,Education,2311.29
gadget buy,Shopping,2330.2
Excitel Broadband,Utilities & Bills,638.06
Amazon Pay India*21802,Shopping,4737.06
Reliance Digital,Shopping,2574.99
mobile accessories,Shopping,3215.26
Dream11 contest,Entertainment,764.77
SBI ATM Withdrawal,Transfers & ATM,4520.67
BEST Bus Mumbai,Transport,612.86
skill development course,Education,5359.84
Starbucks India,Food & Dining,1183.45
Vogo Scooter,Transport,516.98
Yulu Bike Rental,Transport,520.1
Amazon Pay India*70260,Shopping,4621.5
Dunzo Quick Commerce,Food & Dining,650.67
fuel station HPCL,Transport,135.24
restaurant bill payment,Food & Dining,917.22
organic grocery store,Groceries,1808.54
Amazon Prime Video,Entertainment,548.37
Swiggy Instamart,Groceries,598.1
metro card recharge,Transport,473.43
Medplus Pharmacy,Healthcare,2855.92
MPL Gaming,Entertainment,676.53
Flipkart Internet Pvt,Shopping,385.83
Blinkit Instant,Food & Dining,1160.49
Cafe Coffee Day,Food & Dining,318.14
Burger King India,Food & Dining,683.94
BYJU*59969,Education,2998.34
MPL Gaming,Entertainment,753.66
Vedantu Live Classes,Education,1181.71
Unacademy Learn Subscription,Education,5238.6
Xbox Game Pass,Entertainment,184.85
Air India Ticket,Travel,1323.91
Udemy Course Purchase,Education,2494.84
dental clinic payment,Healthcare,981.66
HealthifyMe Premium,Healthcare,1257.0
ZEE5 Premium,Entertainment,136.86
eye clinic glasses,Healthcare,1171.72
visa fee,Travel,1735.0
NEFT*96062,Transfers & ATM,13462.52
Yulu Bike Rental,Transport,689.26
book purchase Amazon,Education,7591.69
Hathway Internet,Utilities & Bills,2494.48
Vistara Flight,Travel,10952.62
milk subscription daily,Groceries,1647.78
Rapido Bike Taxi,Transport,341.48
d2h recharge,Utilities & Bills,1197.03
Airbnb India Stay,Travel,1584.3
McDonald's India,Food & Dining,510.94
ATM cash withdrawal,Transfers & ATM,4771.24
Rapido Bike Taxi,Transport,467.28
Haldirams Sweets,Food & Dining,897.52
Rapido Bike Taxi,Transport,565.12
Max Hospital,Healthcare,1298.48
restaurant bill payment,Food & Dining,579.42
BESCOM Electricity Bill,Utilities & Bills,573.8
bus ticket online,Transport,412.62
electronics purchase,Shopping,1116.49
HealthifyMe Premium,Healthcare,174.12
Apollo Hospitals,Healthcare,1958.32
flight ticket purchase,Travel,9953.3
Myntra Fashion,Shopping,1689.27
certification exam fee,Education,5689.81
BigBasket BB Order*18567,Groceries,1293.27
Swiggy Food Delivery,Food & Dining,336.53
Duolingo Premium,Education,6058.34
Biryani By Kilo,Food & Dining,1115.43
gas cylinder booking,Utilities & Bills,1763.93
BYJU*55318,Education,5410.24
AkasaAir Booking,Travel,2668.57
Starbucks India,Food & Dining,566.94
health checkup fee,Healthcare,1824.59
resort booking,Travel,5090.7
upGrad Course Fee,Education,7683.46
Behrouz Biryani,Food & Dining,625.07
Reliance Digital,Shopping,2882.38
Library Fine Payment,Education,7873.18
upGrad Course Fee,Education,315.92
Adidas India Store,Shopping,1517.71
auto rickshaw UPI,Transport,562.35
Zara India,Shopping,1390.95
holiday inn payment,Travel,2633.64
FOOD*DELIV*42018,Food & Dining,493.87
Starbucks India,Food & Dining,315.4
BookMyShow Ticket*49226,Entertainment,245.21
Columbia Asia,Healthcare,2680.73
Uber India Trip,Transport,717.07
holiday package,Travel,3594.37
ott platform payment,Entertainment,422.93
Coursera India Course,Education,4559.4
Dream11 contest,Entertainment,837.62
paytm transfer,Transfers & ATM,13520.21
College Fee Payment*23573,Education,3282.41
Mumbai Metro MMR,Transport,368.85
Coursera India Course,Education,6587.55
BMTC Bengaluru,Transport,735.54
IndiGo Airlines,Travel,4188.49
UPI/PhonePe/91185,Transfers & ATM,1833.15
NEET coaching fee,Education,5456.07
Cult.fit Membership,Healthcare,2134.94
Vijay Sales,Shopping,4191.98
RedBus Ticket Booking,Transport,607.16
swiggy se khana,Food & Dining,158.37
supermarket bill,Groceries,1101.41
doctor consultation fee,Healthcare,1576.36
Faasos Online,Food & Dining,850.14
Snapdeal Purchase,Shopping,1742.65
NEET coaching fee,Education,7393.1
parking fee,Transport,156.68
BPCL Petrol,Transport,297.23
khaana order,Food & Dining,729.58
Vedantu Live Classes,Education,2564.46
MSEDCL Electricity,Utilities & Bills,307.14
UNACAD*69950,Education,5369.78
PharmEasy Order,Healthcare,445.58
Country Delight Milk,Groceries,793.52
Zepto Quick Grocery,Groceries,1513.26
money sent UPI,Transfers & ATM,11016.13
BMTC Bengaluru,Transport,69.4
Mahanagar Gas Bill,Utilities & Bills,1325.49
Nike India,Shopping,857.86
holiday inn payment,Travel,10306.79
BIGBSKT*50683,Groceries,1774.3
Columbia Asia,Healthcare,991.75
Columbia Asia,Healthcare,1874.19
BIGBSKT*93109,Groceries,1034.77
BookMyShow Ticket*78879,Entertainment,501.07
lunch delivery,Food & Dining,983.59
Zepto Quick Grocery,Groceries,657.41
JIO*RCHG*61451,Utilities & Bills,1508.4
Max Hospital,Healthcare,2706.54
DTH recharge Tata Sky,Utilities & Bills,2205.15
Medplus Pharmacy,Healthcare,1901.27
bus ticket online,Transport,88.71
BluSmart EV Cab,Transport,61.51
Delhi Metro DMRC,Transport,774.12
BPCL Petrol,Transport,298.09
kirana store upi,Groceries,2247.92
exam registration fee,Education,4181.15
mobile recharge online,Utilities & Bills,1191.93
RTGS Transfer,Transfers & ATM,9252.72
auto rickshaw UPI,Transport,746.81
entertainment subscription,Entertainment,600.56
SWGY*42953,Food & Dining,1167.61
Nykaa Beauty Order,Shopping,382.89
IMPS*69433,Transfers & ATM,13879.08
weekly grocery,Groceries,451.43
ott platform payment,Entertainment,579.29
mess fee online,Food & Dining,1181.58
Duolingo Premium,Education,2706.75
fuel station HPCL,Transport,761.05
Netmeds Medicine Order,Healthcare,1093.62
JioMart Kiryana Store,Groceries,1312.42
UPI transfer friend,Transfers & ATM,14712.67
sabzi mandi payment,Groceries,1463.54
DMART*20494,Groceries,526.8
Behrouz Biryani,Food & Dining,690.33
travel booking,Travel,3723.07
Netmeds Medicine Order,Healthcare,170.94
Netmeds Medicine Order,Healthcare,1028.81
Nike India,Shopping,2658.77
EatFit Health,Food & Dining,174.97
Tata Power Mumbai Bill,Utilities & Bills,1187.55
bus ticket online,Transport,567.62
JIO*RCHG*88644,Utilities & Bills,1830.55
Myntra Fashion,Shopping,3421.35
AkasaAir Booking,Travel,7546.95
doctor consultation fee,Healthcare,2131.3
FabHotels,Travel,9749.23
YouTube Premium Monthly,Entertainment,986.13
tour payment,Travel,7073.83
Manipal Hospital,Healthcare,1750.15
Myntra Fashion,Shopping,2649.83
KFC India Order,Food & Dining,846.77
ShopClues Order,Shopping,3648.73
Delhi Metro DMRC,Transport,177.49
IndiGo Airlines,Travel,8944.06
DMART*75358,Groceries,1450.05
flight ticket purchase,Travel,9288.12
YouTube Premium Monthly,Entertainment,341.03
YouTube Premium Monthly,Entertainment,528.71
boAt Lifestyle,Shopping,4245.52
BMTC Bengaluru,Transport,466.84
petrol pump payment,Transport,100.35
cab booking fare,Transport,252.56
H&M India Online,Shopping,4998.06
BookMyShow Ticket*45123,Entertainment,237.8
Tata CLiQ,Shopping,3691.77
parking fee,Transport,791.09
Reliance Fresh,Groceries,836.29
concert ticket,Entertainment,278.82
grocery shopping online,Groceries,2014.19
CESC Kolkata,Utilities & Bills,323.11
Disney+ Hotstar Premium,Entertainment,771.19
yoga class,Healthcare,1793.45
AIRTEL*21953,Utilities & Bills,1788.58
grocery shopping online,Groceries,1273.81
concert ticket,Entertainment,750.87
utility bill,Utilities & Bills,829.42
INOX Movies,Entertainment,881.53
Paytm Wallet Load,Transfers & ATM,9643.95
SWGY*10074,Food & Dining,750.82
SPOTIFY*36497,Entertainment,614.43
clothes shopping,Shopping,828.17
medicine purchase,Healthcare,798.41
book purchase Amazon,Education,4434.71
tour payment,Travel,5594.64
SBI ATM Withdrawal,Transfers & ATM,9496.6
online course payment,Education,6835.96
khaana order,Food & Dining,959.34
Dream11 contest,Entertainment,272.85
FLPKRT*14244,Shopping,3104.06
Nykaa Beauty Order,Shopping,4273.46
Decathlon Sports,Shopping,3962.03
mobile recharge online,Utilities & Bills,884.82
Ludo King Premium,Entertainment,883.99
BluSmart EV Cab,Transport,749.64
phonepe send,Transfers & ATM,5594.65
Coursera India Course,Education,5671.55
doctor consultation fee,Healthcare,2319.4
JEE preparation course,Education,5027.15
eye clinic glasses,Healthcare,1060.82
entertainment subscription,Entertainment,832.93
Snapdeal Purchase,Shopping,4451.68
mobile accessories,Shopping,4746.17
IMPS*12815,Transfers & ATM,4726.99
visa fee,Travel,612.04
broadband bill pay,Utilities & Bills,248.54
Reliance Fresh,Groceries,697.12
Milkbasket Order,Groceries,512.23
milk subscription daily,Groceries,1311.52
cab booking fare,Transport,489.02
Domino's Pizza Order,Food & Dining,1131.6
Pizza Hut Delivery,Food & Dining,1188.27
family transfer,Transfers & ATM,14566.97
H&M India Online,Shopping,4925.32
SWGY*89507,Food & Dining,553.91
SBI ATM Withdrawal,Transfers & ATM,5232.31
Amazon Prime Video,Entertainment,321.76
milk subscription daily,Groceries,1565.75
organic grocery store,Groceries,2189.06
Fortis Healthcare,Healthcare,997.59
Xbox Game Pass,Entertainment,551.27
BookMyShow Ticket*99709,Entertainment,932.03
Cafe Coffee Day,Food & Dining,392.04
metro card recharge,Transport,335.92
Dish TV Recharge,Utilities & Bills,302.85
Indian Oil Fuel,Transport,484.94
kirana store upi,Groceries,2462.81
diagnostic center fee,Healthcare,1782.24
INOX Movies,Entertainment,530.11
CESC Kolkata,Utilities & Bills,2180.78
College Fee Payment*89365,Education,1040.6
IMPS*56659,Transfers & ATM,1206.37
Narayana Health,Healthcare,2116.22
broadband bill pay,Utilities & Bills,412.56
movie ticket booking,Entertainment,294.54
resort booking,Travel,2272.51
split bill payment,Transfers & ATM,4547.98
Hathway Internet,Utilities & Bills,498.38
exam registration fee,Education,4345.07
DMart Ready Grocery,Groceries,534.36
BESCOM Electricity Bill,Utilities & Bills,204.4
JioSaavn Pro,Entertainment,205.77
utility bill,Utilities & Bills,1929.17
IndiGo Airlines,Travel,7133.82
mobile accessories,Shopping,1866.99
holiday inn payment,Travel,985.14
Lifestyle Stores,Shopping,3821.09
Yatra.com Ticket,Travel,1664.09
EatFit Health,Food & Dining,300.68
gadget buy,Shopping,4614.81
family transfer,Transfers & ATM,6822.99
Ludo King Premium,Entertainment,791.86
DMART*41148,Groceries,1054.64
upGrad Course Fee,Education,5343.3
Spotify Premium India,Entertainment,827.53
gaming purchase Steam,Entertainment,526.13
exam registration fee,Education,7772.76
entertainment subscription,Entertainment,624.33
IndiGo Airlines,Travel,4432.0
gaming purchase Steam,Entertainment,884.82
Tata Power Mumbai Bill,Utilities & Bills,1474.09
weekly grocery,Groceries,1675.21
Nike India,Shopping,1795.42
SWGY*79615,Food & Dining,256.32
UPI/PhonePe/63026,Transfers & ATM,14000.5
Puma Online India,Shopping,3630.3
